음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
라볶이,200.0,266.0299999999999,41.13399999999999,6.356000000000001,9.588,7.959999999999999,43.56199999999999,93.546,836.2379999999999,276.67999999999995,-,1.726,0.5880000000000001,6.9,0
마파두부,200.0,226.91509999999997,10.985800000000001,0.5680999999999999,12.013699999999995,16.852999999999994,153.42879999999994,257.26949999999994,647.4516000000002,332.8401,-,3.0779999999999994,2.2704999999999997,19.151999999999997,0
가자미조림,300.0,301.29,20.337,5.994,6.9030000000000005,40.701,114.12,417.78,1621.2300000000002,1153.3799999999999,-,3.2880000000000003,1.5630000000000002,165.0,0
갈치조림,100.0,99.385,5.494,0.5,3.916,10.675,38.665,129.74,463.82,302.985,6.18,1.154,0.603,42.0,0
고등어조림,250.0,459.3349999999999,10.960000000000003,1.4600000000000002,25.350000000000005,45.37249999999999,124.9575,554.4775000000001,1177.955,1033.4125000000004,-,5.1850000000000005,2.6774999999999993,170.15,0
꽁치조림,150.0,280.08820000000003,8.357999999999999,1.3943999999999999,16.6656,22.593200000000003,113.62259999999998,294.58099999999996,679.4171999999999,448.77,-,3.3432,1.1437999999999997,67.19999999999999,0
동태조림,250.0,270.6125,16.77,4.995,4.0925,39.032500000000006,148.7625,525.6875,1440.1749999999997,982.825,-,2.06,1.4125,211.05,0
북어조림,100.0,184.581,15.656,2.9064,3.035,23.884,97.103,246.45,761.39,487.86,8.05,1.805,0.551,103.95,0
조기조림,300.0,378.2615,14.2419,1.45,16.263199999999998,41.4294,108.47449999999999,443.38100000000003,1682.8989999999994,1222.7415,-,3.7468,2.4302,176.60999999999999,0
코다리조림,100.0,146.67,4.574,0.5,5.616,18.458,42.41,197.965,433.18,324.835,3.85,0.853,0.509,77.6,0
달걀장조림,100.0,133.725,10.032,3.1713,6.395,8.751,45.515,132.58,636.605,267.37,15.6,1.35,1.068,308.75,0
메추리알장조림,100.0,205.08,7.358,2.4522,13.691,12.107,65.222,190.659,758.9,279.19,4.75,1.933,1.719,530.64,0
돼지고기메추리알장조림,50.0,62.969,3.14,0.83765,2.1065,7.6160000000000005,11.295000000000002,78.70500000000001,555.7849999999999,153.47,-,0.7335,0.86,77.3,0
소고기메추리알장조림,50.0,61.21500000000001,3.446,0.999,2.211,6.672000000000001,17.18,77.91,608.295,169.545,-,1.7794999999999999,0.8594999999999999,70.17,0
고추조림,100.0,105.878,14.827,2.988,4.185,2.856,31.719,52.221,802.456,185.443,18.67,0.894,0.441,0.0,0
감자조림,50.0,39.013,8.4025,0.7854,0.203,1.552,9.763000000000002,35.95,265.9155,222.5195,-,0.41,0.253,0.0,0
우엉조림,30.0,68.49600000000001,15.505199999999999,7.61112,0.3285,1.0971000000000002,15.621299999999998,24.2187,242.28060000000002,106.8468,-,0.32100000000000006,0.23669999999999997,0.0,0
알감자조림,50.0,56.226,10.480500000000001,1.5667499999999999,1.2635,1.3835,13.1045,40.960499999999996,241.73200000000003,214.52399999999997,-,0.8190000000000001,0.2795,0.0,0
(검은)콩조림,20.0,56.831999999999994,6.9838000000000005,2.9153400000000005,2.0858000000000003,3.8488,24.801,64.409,102.85300000000001,33.393,-,0.8756,0.312,0.0,0
콩조림,20.0,59.221999999999994,7.754599999999999,2.9153400000000005,1.9389,3.5661,14.383999999999997,9.878,234.70099999999996,128.364,-,0.8679,0.4281,0.0,0
두부고추장조림,50.0,67.1415,4.025500000000001,1.8900000000000001,3.998,5.1370000000000005,69.9085,81.637,199.2275,79.70499999999998,-,0.961,0.5765,0.0,0
땅콩조림,20.0,80.41880000000002,6.5448,3.2709,5.114800000000001,2.9102,14.626999999999999,45.435,154.246,90.94900000000001,-,0.5824,0.7150000000000001,0.0,0
미꾸라지튀김,100.0,382.13,30.57,0.0,22.541,12.687,342.025,254.085,323.256,192.595,11.2,4.4,1.643,121.3,0
새우튀김,100.0,311.256,21.828,0.0,19.643,11.827,39.881,130.657,553.887,183.428,5.95,1.079,0.909,165.9,0
생선가스,200.0,646.21125,57.3754,0.0,37.09064999999999,24.501599999999996,34.16325,303.63575,817.2735,229.94849999999997,-,1.9516,1.4308999999999998,176.29999999999998,0
쥐포튀김,100.0,353.33,37.99,0.0,16.541,11.207,26.865,127.535,423.79925000000003,145.28,13.7,1.002,0.476,75.64,0
오징어튀김,100.0,308.426,26.016,0.0,16.496,13.459,21.981,196.907,361.571,186.938,22.22,0.741,0.99,133.0,0
닭강정,100.0,323.251,24.21,1.7421000000000002,15.563,18.335,18.976,179.067,413.137,104.223,5.75,1.371,2.001,107.5,0
닭튀김,300.0,909.8053999999998,45.9186,0.0,52.342099999999995,54.546099999999996,94.74589999999999,533.1853,1150.1313,512.2792,-,5.446199999999999,6.081300000000001,380.625,0
돈가스,200.0,620.6445000000001,36.556000000000004,0.0,39.11719999999999,27.777999999999995,31.359499999999997,264.7555,557.0932999999999,685.7860000000001,-,2.2020999999999997,3.0419000000000005,138.339,0
모래집튀김,150.0,457.34499999999997,31.861199999999993,0.0,25.894399999999994,22.289399999999997,72.27499999999999,247.59,297.01,459.0222,-,1.4672,0.861,137.648,0
양념치킨,200.0,567.582,38.83999999999999,12.364,31.146,30.466,51.001999999999995,315.664,777.8560000000001,381.256,-,3.348,3.5239999999999996,259.0,0
치즈돈가스,250.0,758.496,45.48479999999999,0.0,46.1472,36.0192,72.78,344.364,855.0455999999999,569.976,-,2.5103999999999997,3.6048,146.4,0
치킨가스,200.0,582.0079999999999,51.2753,0.0,28.644399999999997,31.032699999999995,32.64769999999999,186.9923,748.7311,384.2635999999999,-,2.0254,2.0235,113.297,0
탕수육,200.0,454.4381999999999,56.488899999999994,1.8981,16.586999999999993,17.062,36.4382,194.01089999999996,403.256,468.94659999999993,-,2.1223,1.6758000000000004,76.475,0
깐풍기,200.0,585.076,43.36200000000001,13.944,33.339999999999996,27.795999999999996,41.02199999999999,184.70600000000005,629.2719999999999,523.54,-,2.7340000000000004,1.9300000000000002,173.0,0
감자튀김,150.0,462.105,50.099999999999994,0.0,25.762500000000003,6.24,10.32,95.475,374.2185,344.24250000000006,-,1.4264999999999999,0.459,0.0,0
고구마맛탕,200.0,490.92750000000007,90.1908,1.4307299999999998,13.5324,3.3033,108.33480000000002,94.46640000000002,213.3306,587.223,-,3.6098999999999997,1.1319000000000001,0.0,0
고구마튀김,100.0,241.566,34.1,0.0,10.796,3.205,20.693,73.987,150.639,298.574,18.1,0.63,0.305,19.0,0
고추튀김,100.0,198.346,12.74,0.0,13.625,6.482,23.391,99.957,260.651,147.678,12.92,0.903,0.695,190.0,0
김말이튀김,100.0,240.562,32.486,0.0,12.38,2.248,28.85,61.65,393.022,123.57,0.64,1.279,0.218,0.0,0
채소튀김,100.0,311.99,36.349,0.0,18.532,3.013,33.33,91.97,277.28,274.17,11.29,0.519,0.326,0.0,0
노각무침,150.0,81.354,16.433999999999997,5.086500000000001,2.0745,3.0854999999999997,38.8185,89.1075,822.0974999999999,573.2009999999999,-,1.6664999999999999,0.8085000000000001,0.0,0
단무지무침,50.0,19.188000000000002,3.2154999999999996,0.974,0.9105,0.4670000000000001,17.335,13.324000000000002,447.86199999999997,87.6395,-,0.37350000000000005,0.169,0.0,0
달래나물무침,150.0,132.687,25.255499999999998,13.536,3.3045000000000004,4.7715,119.646,101.45099999999998,852.993,554.058,-,2.5919999999999996,1.2014999999999998,0.0,0
더덕무침,150.0,220.89149999999998,48.4395,31.5435,2.7405,4.890000000000001,35.79750000000001,129.72,1203.5835000000002,286.30499999999995,-,2.4899999999999998,0.3135,0.0,0
도라지생채,150.0,165.225,38.590500000000006,2.997,1.71,4.146,75.06,151.506,789.078,725.8575000000003,-,6.404999999999999,0.396,0.0,0
도토리묵,100.0,43.046,9.87,1.399,0.346,0.398,8.817,28.491,116.473,41.835,1.205,0.462,0.12,0.0,0
마늘쫑무침,30.0,38.1177,9.3513,3.2781000000000002,0.2799,0.9843,9.231599999999998,23.685299999999998,423.4554,95.6103,-,0.3405000000000001,0.3774,0.0,0
무생채,150.0,73.68,16.0035,4.4955,1.2795,2.634,73.92,69.6,832.188,478.515,-,1.779,0.7785,1.6800000000000002,0
무말랭이,30.0,39.889500000000005,9.632399999999999,1.0326,0.3426,1.3628999999999996,35.8197,35.2542,378.77639999999997,252.6768,-,0.9516,0.1752,0.0402,0
오이생채,50.0,23.3555,4.6255,1.5150000000000001,0.496,0.885,14.8245,33.46000000000001,269.314,147.1285,-,0.4445,0.20450000000000002,0.0,0
파무침,150.0,124.29599999999998,19.474500000000003,8.367,5.406,3.8175,146.019,81.48,693.834,377.29799999999994,-,2.388,0.41250000000000003,10.05,0
